km_driven,mileage,engine,max_power,seats,no. of years,fuel_Diesel,fuel_LPG,fuel_Petrol,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Manual,owner_Fourth & Above Owner,owner_Second Owner,owner_Test Drive Car,owner_Third Owner
100000,22.54,1396.0,88.73,5,7,1,0,0,1,0,1,1,0,0,0
22000,17.8,1497.0,117.3,5,5,0,0,1,1,0,1,0,0,0,0
116500,23.0,1396.0,90.0,5,10,1,0,0,1,0,1,0,0,0,0
7032,19.0,1199.0,88.76,5,2,0,0,1,0,1,0,0,0,0,0
60000,16.73,1995.0,218.0,5,11,1,0,0,1,0,0,0,0,0,0
120000,12.99,2494.0,100.6,7,6,1,0,0,1,0,1,0,0,0,0
70000,20.0,1399.0,68.0,5,9,1,0,0,1,0,1,0,1,0,0
38426,17.19,1197.0,81.86,5,3,0,0,1,1,0,1,0,0,0,0
110000,14.1,2179.0,147.94,7,6,1,0,0,1,0,1,0,0,0,0
54000,23.95,998.0,67.05,5,6,0,0,1,1,0,1,0,0,0,0
108000,21.19,1396.0,88.73,5,6,1,0,0,1,0,1,0,0,0,0
52412,18.9,998.0,67.1,5,4,0,0,1,0,0,1,0,0,0,0
54043,18.9,1197.0,81.86,5,7,0,0,1,0,0,0,0,0,0,0
80000,17.0,1405.0,70.0,5,12,1,0,0,1,0,1,0,1,0,0
70000,24.52,1248.0,88.5,7,4,1,0,0,1,0,1,0,0,0,0
110000,21.27,1396.0,88.76,5,8,1,0,0,1,0,1,0,1,0,0
56290,24.0,1186.0,73.97,5,4,1,0,0,0,0,1,0,0,0,0
80000,23.2,1248.0,73.94,5,7,1,0,0,1,0,1,0,1,0,0
19000,22.5,999.0,67.0,5,3,0,0,1,1,0,1,0,0,0,0
108000,19.67,1582.0,126.2,5,6,1,0,0,1,0,1,0,0,0,0
30000,18.25,1968.0,187.74,5,5,1,0,0,0,0,0,0,0,0,0
188000,14.0,2179.0,120.0,8,9,1,0,0,1,0,1,0,1,0,0
25000,23.1,998.0,67.04,5,5,0,0,1,1,0,1,0,0,0,0
120000,14.07,2956.0,83.1,7,19,1,0,0,1,0,1,0,0,0,0
44000,26.2,998.0,58.2,5,11,0,1,0,0,0,1,0,0,0,0
72000,13.93,2179.0,138.03,7,4,1,0,0,1,0,1,0,0,0,0
40000,22.74,796.0,47.3,5,7,0,0,1,1,0,1,0,0,0,0
70000,25.44,936.0,57.6,5,8,1,0,0,1,0,1,0,0,0,0
100000,28.4,1248.0,74.02,5,3,1,0,0,1,0,1,0,1,0,0
110000,18.2,1248.0,73.74,7,5,1,0,0,1,0,1,0,1,0,0
11000,14.3,1598.0,103.5,5,5,0,0,1,0,0,0,0,0,0,0
35000,16.2,1199.0,74.0,5,5,0,0,1,1,0,1,0,0,0,0
40000,15.96,2523.0,62.1,7,6,1,0,0,1,0,1,0,1,0,0
31000,13.0,2143.0,204.0,5,5,1,0,0,0,0,0,0,0,0,0
120000,18.49,1493.0,100.0,7,5,1,0,0,1,0,1,0,0,0,0
25000,15.1,2179.0,152.87,7,3,1,0,0,1,0,1,0,0,0,0
215000,12.05,2179.0,120.0,7,9,1,0,0,1,0,1,0,0,0,0
10000,24.7,796.0,47.3,5,3,0,0,1,1,0,1,0,0,0,0
40000,18.9,1197.0,81.86,5,3,0,0,1,1,0,1,0,0,0,0
120000,20.5,1248.0,91.72,5,6,1,0,0,1,0,1,0,0,0,0
110000,21.1,1248.0,73.9,5,10,1,0,0,1,0,1,0,1,0,0
70000,17.3,1061.0,64.0,5,12,0,0,1,1,0,1,0,1,0,0
50000,20.92,998.0,67.1,5,10,0,0,1,1,0,1,0,0,0,1
67500,12.2,1948.0,68.0,10,9,1,0,0,1,0,1,0,0,0,0
101000,16.55,2498.0,105.0,6,5,1,0,0,1,0,1,0,0,0,0
120000,14.95,2489.0,93.7,7,7,1,0,0,1,0,1,0,1,0,0
40000,20.51,998.0,67.04,5,6,0,0,1,1,0,1,0,0,0,0
265000,14.8,2499.0,80.0,9,11,1,0,0,1,0,1,1,0,0,0
100000,19.7,796.0,46.3,5,15,0,0,1,1,0,1,0,1,0,0
61379,15.4,2179.0,120.0,7,4,1,0,0,0,0,1,0,0,0,0
30000,18.9,1197.0,81.86,5,7,0,0,1,1,0,1,0,1,0,0
70000,11.74,2987.0,254.8,5,7,1,0,0,1,0,0,0,0,0,0
70000,22.0,1197.0,81.8,5,3,0,0,1,1,0,1,0,1,0,0
155000,18.7,1896.0,66.0,5,14,1,0,0,1,0,1,0,0,0,0
70000,27.39,1248.0,74.0,5,4,1,0,0,1,0,1,0,0,0,0
75500,23.0,1396.0,90.0,5,10,1,0,0,1,0,1,0,1,0,0
80000,12.05,2179.0,120.0,7,12,1,0,0,1,0,1,0,0,0,1
120000,14.0,2498.0,112.0,8,9,1,0,0,1,0,1,1,0,0,0
25000,18.9,1197.0,81.86,5,3,0,0,1,1,0,1,0,1,0,0
56000,17.4,1497.0,117.3,5,7,0,0,1,1,0,1,0,1,0,0
120000,16.1,796.0,37.0,4,10,0,0,1,1,0,1,0,1,0,0
60000,19.4,1198.0,86.8,5,7,0,0,1,1,0,1,0,1,0,0
70000,21.03,1461.0,65.0,5,9,1,0,0,1,0,1,0,1,0,0
96000,19.7,796.0,46.3,5,17,0,0,1,1,0,1,0,0,0,1
70000,16.1,796.0,37.0,4,23,0,0,1,1,0,1,0,1,0,0
